2025-07-02T15:32:48.187+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : Starting ProductSpringBatchProjectApplication using Java 21.0.6 with PID 34656 (D:\Workspace\STS\ProductSpringBatchProject\target\classes started by Lenovo in D:\Workspace\STS\ProductSpringBatchProject)
2025-07-02T15:32:48.188+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : No active profile set, falling back to 1 default profile: "default"
2025-07-02T15:32:48.218+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-02T15:32:48.517+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-07-02T15:32:48.533+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 JDBC repository interfaces.
2025-07-02T15:32:49.669+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 6.0 originalPrice: 800.0 discount: 48.0 finalPrice: 752.0
2025-07-02T15:32:49.683+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 6
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 7.0 originalPrice: 900.0 discount: 63.00000000000001 finalPrice: 837.0
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 7
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 8.0 originalPrice: 1000.0 discount: 80.0 finalPrice: 920.0
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 8
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 9.0 originalPrice: 1100.0 discount: 99.0 finalPrice: 1001.0
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 9
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 10.0 originalPrice: 1200.0 discount: 120.0 finalPrice: 1080.0
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 10
2025-07-02T15:32:49.685+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 11.0 originalPrice: 1300.0 discount: 143.0 finalPrice: 1157.0
2025-07-02T15:32:49.694+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 11
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 12.0 originalPrice: 1400.0 discount: 168.0 finalPrice: 1232.0
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 12
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 13.0 originalPrice: 1500.0 discount: 195.0 finalPrice: 1305.0
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 13
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 14.0 originalPrice: 1600.0 discount: 224.00000000000003 finalPrice: 1376.0
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 14
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 15.0 originalPrice: 1700.0 discount: 255.0 finalPrice: 1445.0
2025-07-02T15:32:49.695+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 15
2025-07-02T15:32:49.696+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 16.0 originalPrice: 1800.0 discount: 288.0 finalPrice: 1512.0
2025-07-02T15:32:49.704+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 16
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 17.0 originalPrice: 1900.0 discount: 323.0 finalPrice: 1577.0
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 17
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 18.0 originalPrice: 2000.0 discount: 360.0 finalPrice: 1640.0
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 18
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 19.0 originalPrice: 2100.0 discount: 399.0 finalPrice: 1701.0
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 19
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 20.0 originalPrice: 2200.0 discount: 440.0 finalPrice: 1760.0
2025-07-02T15:32:49.705+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 20
2025-07-02T15:32:49.706+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 21.0 originalPrice: 2300.0 discount: 483.0 finalPrice: 1817.0
2025-07-02T15:32:49.715+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 21
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 22.0 originalPrice: 2400.0 discount: 528.0 finalPrice: 1872.0
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 22
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 23.0 originalPrice: 2500.0 discount: 575.0 finalPrice: 1925.0
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 23
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 24.0 originalPrice: 2600.0 discount: 624.0 finalPrice: 1976.0
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 24
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 25.0 originalPrice: 2700.0 discount: 675.0 finalPrice: 2025.0
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 25
2025-07-02T15:32:49.716+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 26.0 originalPrice: 2800.0 discount: 728.0 finalPrice: 2072.0
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 26
